X,Y,Afbeelding,Inventarisatiecode,Titel,Kunstenaar_s_,Toponiem,Wijk_Kern,Objecttype,Jaar,Omschrijving,Coordinaten,Latitude,Longitude,FID
483889.384873576,6803143.93772261,,13.17.107,Borstbeelden J.C. van Marken & Agneta van Marken,,"Zocherweg, hoek J.C. van Markenweg",Hof van Delft & Voordijkshoorn,Kunstwerk,2009,"Jacobus Cornelis (J.C.) van Marken heeft veel betekend voor de Delftse arbeider. Van Marken (1845-1906) had diverse fabrieken en was een van de eersten met verlichte idee&euml;n over woon- en werkomstandigheden ten aanzien van zijn werknemers. Hij liet een parkachtige woonwijk voor hen ontwerpen, die hij het Agnetapark noemde, naar zijn vrouw. Hier kon zijn personeel gaan wonen. Bij het honderdjarig bestaan van het park werd besloten dat er een borstbeeld moest komen van J.C. van Marken. Ter gelegenheid van de honderdste sterfdag van Agneta van Marken (1847-1909) werd er ook van haar een borstbeeld gemaakt. Zij was de stuwende kracht achter het verwezenlijken van de sociale idealen die ze samen met haar man nastreefde. Agneta richtte bijvoorbeeld de Vereniging Armenzorg op, die hulp bood aan armen tijdens de zeer strenge winter van 1890.
Bronnen:
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
WikiDelft (www.wikidelft.nl)",,52.016690854236,4.34685230255127,11
481231.499954735,6801434.62960668,,DEL-003,Bruggen Harnaschpolder,,"Hoflandendreef, meerdere locaties in de Harnaschpolder",Harnaschpolder,Kunstwerk,2012,"DP6 heeft voor de wijk Harnaschpolder een familie van archetypische &lsquo;boerenbruggen&rsquo; ontworpen met bijzondere leuningen. In de leuningen zijn teksten en grafiek verwerkt op basis van de geschiedenis en landschappelijke thema's van de Harnaschpolder.De balustrades zijn allen ontworpen als zwevende balken verbonden door een serie stripstalen balusters. Op subtiele wijze verschilt de uitwerking van al deze balken net iets, afhankelijk van de locatie of de route waarlangs de brug zich bevindt. De stalen balustrade is ontworpen door ontwerper Mariska van den Enden. Haar tekeningen zijn in een stalen plaat gelaserd. De betonnen en houten balustrades zijn voorzien van een tekst door taalkunstenaar Margriet van Bebber.
&nbsp;
www.dp6.nl/projecten/bruggen-harnaschpolder",,52.0072399141585,4.32297611609101,12
485211.506597196,6798593.54588252,,24.1.52,Buutpaal - niet meer aanwezig,,Lodewijk van Deysselhof,Voorhof,Kunstwerk,1971,Het kunstwerk is in 2009 verwijderd.,,51.9915268538929,4.35872912406921,13
486798.172297914,6801081.16215389,,DEL-008,Corona monument,,Muyskenlaan,Wippolder,Monument,2023,,,52.0052853072367,4.37298238456664,14
484574.630888867,6798900.78690635,,24.10.99,De Bedelaar,,"Willem Mérodestraat, tegenover no. 7",Voorhof,Kunstwerk,,"Van dit beeld bestaat alleen nog de sokkel. Waar het beeldje is gebleven, is onbekend.",,51.9932263646649,4.35300797224045,15
483846.389045166,6802009.325584,,13.5.38,De fietsers,,"Westplantsoen, tegenover no. 162",Hof van Delft & Voordijkshoorn,Kunstwerk,1960,"Het beeld toont een man en een vrouw naast een fiets. Een dergelijk werk is typisch voor Wenckebach, die de mens in alledaagse situaties centraal stelde. Met modellen van het beeld zijn op verschillende plekken proefopstellingen gedaan. Uiteindelijk is voor deze locatie gekozen: een natuurlijke plek met hoge bomen.
Bronnen:
Archief Delft, Secretarie-archief
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
&nbsp;",,52.0104176899763,4.34646606445313,16
482601.002931973,6802688.00279218,,-,De Fluisterheuvels,,"Van Kinschotstraat, in parktuin bij kinderdagverblijf Het Elfje, Camerlingstraat 2",Hof van Delft & Voordijkshoorn,Kunstwerk,2008,"&lsquo;De Fluisterheuvels&rsquo; zijn ontstaan tijdens het Kunst in de Wijken-project &lsquo;BinnenWereldBuiten&rsquo;. Bij dit project presenteerden bewoners in Voordijkshoorn anderen en zichzelf in een &lsquo;jukebox&rsquo; met filmpjes, die ze hadden opgenomen in de &lsquo;buurtstudio&rsquo;. Zo gaven bewoners elkaar een inkijkje in hun leven en leerden ze elkaar beter kennen. De foto&rsquo;s van buurtbewoners zijn samengebracht in deze heuvels, en vormen de monden van bewoners Mohammed en Jan. Wanneer je tegenover elkaar gaat staan bij deze heuvels en erin fluistert, kun je elkaar nog verstaan door de paraboolvorm van de heuvels.
Bronnen:
Gemeentelijk archief
WikiDelft (www.wikidelft.nl)


De Fluisterheuvels
Door Dani&euml;l Raybould (9 jaar)
Deelnemer Jonge Schrijversclub bij de VAK, centrum voor de kunsten, te Delft

Lang, lang geleden, ergens in de middeleeuwen, woonde Robberto met z&rsquo;n ouders in een klein hutje dicht bij twee heuvels. Robberto&rsquo;s ouders hadden heel weinig geld. Op een dag vroeg de moeder van Roberto &ldquo;Ga je even naar het dorp?&rdquo; &ldquo;Ok&eacute;, mam&rdquo;, zei Robberto en hij liep richting een dorpje. Hij moest langs de twee heuvels en toen hij hier was, hoorde hij fluisteren: &ldquo;Kom naar de heuvel, kom naar de heuvel.&rdquo; Robberto keek om zich heen. Niemand. &ldquo;Wie is daar?&rdquo;, vroeg Robberto. &ldquo;Ik. Kom toch naar de heuvel!&rdquo; Robberto liep naar &eacute;&eacute;n van de heuvels. Plotseling verscheen er een gat in de heuvel, groot genoeg voor een mens. Robberto aarzelde, maar ging toch naar binnen. Toen hoorde hij de stem weer: &ldquo;Kom naar het licht.&rdquo; Er verscheen een groen vlammetje. Robberto kroop richting het vlammetje, dat ongeveer zo groot was als een hand. Plotseling verscheen er een gezicht in het vlammetje, een gezicht met een baard, de ogen waren bloedrood. Robberto begon te gillen, maar toen voelde hij dat hij zijn tenen niet meer kon bewegen en hij werd helemaal van steen. Plotseling werd het vlammetje zo groot als een mens. Robberto werd erin gezogen en de man met de baard vloog eruit. Daarna was het vlammetje verdwenen.

En sindsdien heten de heuvels &lsquo;De Fluisterheuvels&rsquo;.",,52.0141701384077,4.33527857065201,17
484568.360663891,6798928.55504555,,24.10.100,De Gokkers,,"Willem de Mérodestraat, tegenover no. 7",Voorhof,Kunstwerk,1969,"Door de Commissie voor de Stadsverfraaiing, die zich hard maakte voor meer kunstwerken in de stad, werd het initiatief genomen tot het cre&euml;ren van een beeldenroute rond de jaren zeventig van de vorige eeuw. De beelden werden in eerste instantie gehuurd, zodat bewoners kennis konden maken met de werken en de geschiktheid van de beelden op de verschillende locaties kon worden bepaald. &lsquo;De Gokkers&rsquo; maakte onderdeel uit van de route en is blijven staan.
Andere beelden uit deze route zijn Het Fabelmens, ook van Van Halderen, Japanse dans van Toon Slegers, en Vogel en Waternimf van Godfried Pieters.
Bronnen:
Archief Delft, Secretarie-archief
Commissie voor de Stadsverfraaiing van de Culturele Gemeenschap Delft, 18 Delftse Beelden, Delft 1982


De gokkers
Door Daniil Soloviev (11 jaar)
Deelnemer Jonge Schrijversclub bij de VAK, centrum voor de kunsten, te Delft

Goden staan erom bekend dat ze altijd wel wat te doen hebben. Je hoort nooit een god klagen van &ldquo;Saai&hellip;&rdquo; en &ldquo;Ik heb niets te doen!&rdquo; Maar &eacute;&eacute;n keer waren er twee goden&hellip; die waren het eeuwige leven beu! Maar ze waren niet dom (alle domme goden, worden meteen ontslagen) en ze bedachten iets nieuws. Iets wat ze op zou vrolijken. Iets waardoor ze een nieuw doel kregen. Iets wat ook nog eens iets in het leven van de mensen zou brengen. Iets wat iedereen die niets te doen had, iets te doen gaf. En iets wat je altijd zou willen doen en waarmee je nooit meer zou willen stoppen.

De goden bedachten het&hellip; gokken! Het kaarten. Het dobbelen. Het casino. Alles. En ze begonnen meteen: ze maakten een tafel van het beste hout wat er was, zetten die op een wolk neer, gingen eraan zitten en begonnen.
Maar als ze verloren hadden, maakte ze gewoon nieuw goud aan (het waren immers goden) en gingen gewoon door. Maar al het geld, de speelkaarten, alles viel gewoon van de tafel af. De goden waren zo druk bezig, dat ze het niet merkten, maar&hellip; de mensen merkten het wel: er kwam een regen van pokerspul en gokgeld op hen af! Ze begonnen ook te gokken, maar het bracht geen vrolijkheid met zich mee zoals de goden wilden, maar veel tranen en verdriet. Toen de andere goden dat zagen, werden ze heel boos: ze lieten de gokgoden versmelten met hun tafel en vervingen het gokgeld van de mensen door plastic fiches. Maar de gokgoden gingen gewoon door, net als de mensen: ze speelden met de fiches, maar vervingen ze op het eind door geld. De andere goden begrepen dat aan de mensen niks te doen was, maar besloten de gokkers nog erger te straffen: ze hakten een stuk uit hun wolk. En ze vielen en vielen naar beneden, tot ze de grond raakten en voor eeuwig versteenden.

En dit is dus het echte verhaal van de gokkers.

Daniil Soloviev (11 jaar)
Deelnemer Jonge Schrijversclub bij de VAK, centrum voor de kunsten, te Delft",,51.9933799615855,4.35295164585114,18
485815.486972333,6798499.34499053,,DEL-007,De Haan,,"Marcellus Emantspad 2, Aan gevel poldergemaal",Voorhof,Kunstwerk,2022,"Het kunstwerk &lsquo;De Haan&rsquo; van Jan Rot hing midden jaren 60&nbsp;in de tweede openbare ULO&nbsp; in Voorhof-West. Door een fusie en verhuizing kwam het kunstwerk al snel beschikbaar.&nbsp; In augustus 1968 startte in Voorhof-Oost de Jac. P. Thijsseschool aan de Frederik van Eedenlaan 72. Al tijdens de bouw werd het kunstwerk via het nog open dak in de entree van de school geplaatst. &#39;De Haan&#39; werd het logo van de school en paste perfect bij de onderwijsvisie van de J.P.T. waarin natuur en veel dieren een belangrijke rol speelden. Er was een grote (moes)tuin en met de producten daaruit werd gekookt, gerekend en nog meer. Er was zelfs een composttoilet. De Jac. P. Thijsseschool was een unieke, experimentele openbare basisschool waar de ervaringen van de kinderen het uitgangspunt vormden voor natuurlijk leren. De school was een erkende voorloper op het gebied van onderwijsvernieuwing.&nbsp;Het is triest dat de school twee keer is afgebrand, verder waren er fusies en een verhuizing. Hierdoor kwam &lsquo;De Haan&rsquo; onzichtbaar op een achtergevel te hangen. Dankzij een crowdfund-actie door een oud lerares kon &lsquo;De Haan&rsquo; in 2022 in samenwerking met de gemeente, het Hoogheemraadschap van Delfland en Strukton, verhuizen naar de gevel van het poldergemaal Voorhof...bijna op zijn oude plek terug. &lsquo;De Haan&rsquo; heeft veel doorstaan.&nbsp;Hij is nu weer zichtbaar voor duizenden passanten iedere dag!&nbsp;",,51.991005766577,4.36415477209215,19
486588.268852754,6802661.72756371,,ab7,De liefde: Memory of the ocean,,"Jan Joostenplein, Binnen in verzorgingstehuis.",Vrijenban,Kunstwerk,2010,,,52.0140248668936,4.37109678983688,20
487443.109524553,6802265.50906162,,26.01,De Liefdesbrief,,"Oostpoortweg, A13, afslag 9",Vrijenban,Kunstwerk,2007,"Toen de infrastructuur rond de op- en afritten van de A13 bij IKEA vernieuwd werd, kwam de gemeente op het idee om een hedendaagse stadspoort te laten cre&euml;ren middels een kunstwerk. Kunstenaarsduo Berkman en Janssens nam &lsquo;De Liefdesbrief&rsquo; van de Delftse schilder Johannes Vermeer als uitgangspunt. De schuine wanden van het viaduct hebben een zwart-wit tegelpatroon, net als de vloer op het schilderij. Verder hebben de pilaren de dieprode kleur die Vermeer ook gebruikte in zijn schilderijen. De witte dieren verwijzen naar afbeeldingen van de vroegere Delfts blauwe tegels.
Bron:
Gemeentelijk archief


De stroper
Door Annika Reijsenbach (10 jaar)
Deelnemer Jonge Schrijversclub bij de VAK, centrum voor de kunsten, te Delft

Er was ooit eens een oude man, hij was een stroper. Hij woonde in de hoge bergen, vlak bij een rivier. De stroper moest elke keer die rivier over en dat vond hij niet fijn. Waarom? Hij was namelijk erg gevaarlijk. Een paar keer per week liep de stroper naar de jungle aan de andere kant van de rivier. Nooit ving hij een dier, maar&hellip; op een dag gebeurde er iets vreselijks. De dieren van het bos merkten dat de stroper weer kwam en toen werd een hert vreselijk boos. Hij kwam op voor de groep dieren. Het hert vocht met de oude stroper. De dieren waren veilig. En de stroper? Welnee! Hij lag helemaal dood op de grond.

Het hert was dolgelukkig. Hij had namelijk een geheim persoon, daar trouwde hij mee en hij leefde dus nog lang en gelukkig!",,52.0118341813083,4.37877595424652,21
484398.766007383,6802129.95276927,,13.13.41,De melkjongens,,"Sint Olofsstraat 21, plein",Hof van Delft & Voordijkshoorn,Kunstwerk,1987,"Eerder stond op deze plek
Het melkmeisje
van Wim T. Schippers, nadat het weg moest op de hoek Schoolstraat/Phoenixstraat. Schippers vond echter dat het beeld beter paste in de binnenstad, en dus verhuisde het naar de Binnenwatersloot. De bewoners van de Olofsbuurt wilden graag een vervangend beeld. Het werd &lsquo;De melkjongens&rsquo; van Richard de Vrijer. Deze jongens hebben overigens niets met zuivel te maken. Het beeld heet eigenlijk &lsquo;De drie clowns&rsquo;, maar de kunstenaar vond in dit geval een tweede naam gepast. Het werk is ge&iuml;nspireerd op de Commedia dell&rsquo;arte: een vorm van ge&iuml;mproviseerd theater die zijn oorsprong had in Itali&euml;.
Richard de Vrijer maakte ook Demeter, Landschap en Nik&egrave;.
Bronnen:
R.L. Erenstein, De geschiedenis van de commedia dell&rsquo; arte, Amsterdam 1985
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
&nbsp;",,52.0110846681709,4.35142815113068,22
483756.515820502,6802088.74843371,,13.9.40,De oude en de nieuwe stad,,"Colijnlaan, hoek Weteringlaan",Hof van Delft & Voordijkshoorn,Kunstwerk,1959,"Het werk &lsquo;De oude en de nieuwe stad&rsquo; geeft, zoals de naam al eigenlijk zegt, als het ware de verbinding weer tussen het oude centrum en de (destijds) nieuwe westelijke wijk. De vrouwen zijn een symbolische voorstelling van de ontmoeting van de oude, historische stad met het nieuwe stadsgedeelte van toen. De vrouw in een historisch kostuum gaat met de sleutel richting de oude stad, terwijl de jongere vrouw op weg is naar de nieuwe wijk.
Bronnen:
Archief Delft, Secretarie-archief
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
&nbsp;",,52.0108568401036,4.34565871953964,23
484343.22972902,6803143.93772261,,11.38.25,De Waterdragers,,"Kalverbos, naast de watertoren",Binnenstad,Kunstwerk,2007,"&lsquo;De Waterdragers&rsquo;, vervaardigt door De Koninklijke Porceleyne Fles, was een geschenk van de Delftse bevolking aan de Koninklijke Shell Plastics Laboratorium Delft (KSPLD) in 1964. Het kunstwerk van Henk Tieman is een dankbetuiging voor het schone drinkwater dat het laboratorium in 1963/1964 uitdeelde. Het drinkwater in Delft was destijds namelijk sterk verontreinigd door problemen met de watertoevoer. In 1975 verhuisde het laboratorium naar Amsterdam, en het beeld ging mee. Toen het gebouw waarvoor het beeld stond werd afgebroken, heeft een comit&eacute;, waar ook oud-directeur Goppel in zat, ervoor gezorgd dat het beeld weer terugkwam naar Delft in 2007. Het staat op een toepasselijke plek: naast de watertoren, die tot 1996 in gebruik was ten behoeve van de drinkwatervoorziening.
Henk Tieman maakte ook Herdenkingsmonument kartuizerklooster, Spelende kinderen en Zeeleeuw.
Bronnen:
Gemeentelijk archief
WikiDelft (www.wikidelft.nl)
&nbsp;",,52.016690854236,4.35092926025391,24
485636.148866226,6802191.87609047,,11.44.74,Delftse Koe,,Beestenmarkt,Binnenstad,Kunstwerk,1993,"De Beestenmarkt, waar dit kunstwerk van Rob Brandt (1946) staat, was vanaf de zestiende eeuw tot de jaren zestig van de vorige eeuw in gebruik als veemarkt. De &lsquo;Delftse Koe&rsquo; (hoewel sommigen het beschouwen als een stier) is een herinnering aan deze tijd. Tijdens het project &lsquo;Hedendaags Delfts Blauw&rsquo; cre&euml;erde Rob Brandt dit werk als zijn hedendaagse interpretatie van het traditionele Delfts blauw. Verschillende Delftse souvenirs zijn te herkennen in het beeld, zoals de tegel en het vingerhoedje.
Bronnen:
Gemeentelijk archief
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996
&nbsp;
&nbsp;",,52.0114270540026,4.36254375047474,25
486687.597385112,6800795.58905941,,28.1.90,Demeter,,Jaffalaan 10,Wippolder,Kunstwerk,2001,"Demeter is een vrouwfiguur uit de Griekse mythologie. Ze is de goddelijke moeder van alles wat leeft en de godin van de gecultiveerde vegetatie, maar staat ook voor de voortdurende kringloop van leven en dood. Dat maakt begraafplaats Jaffa een toepasselijke locatie voor dit beeld. De Delftse beeldhouwer Richard de Vrijer heeft &lsquo;Demeter&rsquo; gecre&euml;erd met op schoot Demophon. Dat is niet haar zoon: het is het kind van Keleos en Metaneuram, koning en koningin van Eleusis. Zij nam echter de opvoeding van Demophon op zich, nadat ze haar dochter Persephone kwijt was.
Richard de Vrijer maakte ook De melkjongens, Landschap en Nik&egrave;.
Bron:
S. IJsseling, Drie godinnen: Mnemosyne, Demeter, Moira, Amsterdam 1998
&nbsp;",,52.0037060806918,4.37198907322454,26
485009.643232515,6802111.50392029,,11.40.01,Dirk Coster,,"Oude Delft 116, in tuin Meisjeshuis",Binnenstad,Kunstwerk,1963,"Dirk Coster (1887-1956), dichter en criticus, woonde en werkte in Delft. Hij richtte onder andere tijdschrift De Stem op. Dit borstbeeld van ereburger Coster werd in 1963 geschonken door de Katholieke Studentenvereniging Sanctus Virgilius ter gelegenheid van haar dertiende lustrum. 

Henk Etienne maakte ook Hendrik Zwang en Koningin Wilhelmina.
Bron:
A. Haase, L. ten Duis, Oude en nieuwe beelden in Delft, Delft 1996.",,52.0109826604661,4.35691575461124,27
